X,Y
0.0,9.652447496196212
1.0,7.533978961084265
2.0,17.603767873836404
3.0,11.21736470872016
4.0,18.51166640725652
5.0,15.33955758438819
6.0,18.91333931440156
7.0,15.772820282257975
8.0,9.95915546457196
9.0,9.004933743831204
10.0,17.523603745260218
11.0,7.405347539447408
12.0,16.86934502636549
13.0,6.8444536695690745
14.0,12.78250246645645
15.0,13.951734880643112
16.0,19.6868505026164
17.0,11.684207006999966
18.0,9.99682123501216
19.0,11.176001623487766
20.0,6.361124887750023
21.0,8.20718881848922
22.0,9.338038208882107
23.0,10.420540251012653
24.0,9.824188734194507
25.0,10.058048676240304
26.0,11.527316297210731
27.0,9.299706139734237
28.0,15.565499129845824
29.0,14.675305971562633
30.0,6.406738487370757
31.0,10.641810967862655
32.0,11.433739565721197
33.0,19.321085707538487
34.0,7.827267878040974
35.0,6.0908587248049795
36.0,19.388416404700457
37.0,9.568744580621335
38.0,17.753539412569225
39.0,8.641548471634408
40.0,15.555561762177572
41.0,17.059912539667078
42.0,9.575224675958117
43.0,9.458799633768955
44.0,9.7927435067746
45.0,10.58616208091609
46.0,6.011146545947986
47.0,18.10610701877419
48.0,19.53341843294129
49.0,14.9197834775
50.0,9.627616396460919
51.0,6.847459079077911
52.0,14.628080951570439
53.0,9.716686130876521
54.0,11.279018348797484
55.0,8.603187224026076
56.0,6.353804808426467
57.0,14.796095004329477
58.0,11.358614149653267
59.0,9.38089943908685
60.0,10.566128186595826
61.0,10.334271865422743
62.0,12.281543116450255
63.0,10.31416761434282
64.0,15.660375296033303
65.0,10.210205203411627
66.0,16.6275287025462
67.0,6.231606495099701
68.0,9.135144092776008
69.0,12.90134080285688
70.0,11.860050446580239
71.0,12.948435096965296
72.0,14.013398901829135
73.0,17.28485764158508
74.0,18.018464321614303
75.0,10.253328358146039
76.0,18.178539402526688
77.0,19.406948407144196
78.0,17.469746064804667
79.0,15.364919464003592
80.0,8.702225831732298
81.0,12.791670945509768
82.0,19.020930107279547
83.0,8.269601625004228
84.0,17.351893396328627
85.0,7.047590637731943
86.0,17.534319299377877
